출원번호,초록,메인 ipc코드,서브 ipc코드1,서브 ipc코드2,메인 ipc코드
1.02E+12,"본 발명은 지하철역과 국철역을 이용한 수화물 배송 방법에 관한 것으로서, 항상 일정한 시간간격으로 운행되는 지하철역과 국철역을 물류거점으로 이용하여 서류나 수화물 등의 배달이 요청될 경우 지하철의 운행시간 및 노선을 분석하여 최적경로를 결정하여 배송할 수 있도록 함으로써 복화수송율이 높이고 항상 운행되고 있는 지하철이나 국철을 이용함으로써 물류비를 절감 시킬 수 있는 이점이 있다. 또한, POS시스템과 인터넷 통신망 또는 무선단말기 등을 이용하여 배송 의뢰인 및 수취인에게 수화물의 배송되는 위치 및 도착시간을 직접조회 가능하도록 함으로써 물류서비스의 신뢰성을 향상시킬 수 있는 이점이 있다. 지하철 국철 택배 수화물 배송 물류거점 인터넷",G09F,,,G07F
1.02007E+12,"실시간으로 컨테이너의 위치 정보와 봉인 상태를 포함하는 컨테이너의 정보를 확인하기 위한 물류 추적 시스템을 구축하는데 있어서, 상품의 가격 상승의 요인이 되는 물류 비용을 최대한 저감하기 위해서는 물류 추적 시스템의 구축 비용을 최소화할 필요가 있다.상술한 바와 같은 본 발명의 목적을 달성하기 위한 본 발명에 의한 컨테이너의 위치 및 봉인 상태를 포함하는 컨테이너 정보를 송출하기 위한 컨테이너 정보 송출 시스템은, (1)상기 컨테이너에 장착되며 무선(Radio Frequency) 통신 모듈을 포함하는 전자 봉인 장치와, (2) 상기 컨테이너에 장착되며, 무선 통신 모듈을 포함하고, 상기 무선 통신 모듈을 통해 상기 전자 봉인 장치로부터 컨테이너의 봉인 상태를 전송받는 컨테이너 정보 송수신기와, (3) 상기 컨테이너를 운송하는 운송 수단 또는 컨테이너가 집합되어 있는 집합 장소에 배치되며, 상기 제1 컨테이너 상태 정보 송수신기와 통신가능한 무선 통신 모듈을 포함하고, 위성과 통신 가능한 위성 통신 모듈을 포함하는 중계기와, (4) 상기 컨테이너 정보 송수신기 및 중계기 중 적어도 어느 하나에 장착되는 상기 컨테이너의 위치 정보를 획득하는 것이 가능한 위치 정보 획득 수단을 포함하도록 구성된다.",G16C,,,G08C
1.01996E+12,"개별  또는  그룹별의  이송  단위의  위치  및  상태를  자동으로  관리하도록 개선시킨  물류시스템의  이송  관리  장치  및  그  방법에  관한  것이다.본  발명은  분기,  교합  및  연결  구조가  조합된  이송경로  상으로  프로그래밍  상태 및  조작에  따라  이송물의  이송을  제어  및  관리하는  물류시스템의  이송  관리  장치에  있어서,  이송경로를  분기,  교합  및  연결  구조에 따라  구간구분을  하여  상기 이송물의  구간별  진입  위치에  설치되는  복수개의  센서들로  이루어지는  센서부  및  각  센서들로부터  센싱신호가  입력되면  상기 이송물의  위치를  등록하고,  조작에  따라 특징  이송물의  위치  및 이송경로  이력을  추적하는  물류  제어부를  포함하여  이루어진다.따라서,  이송라인에서의  이송물의  관리가  복잡한  프로세스를  시뮬레이션  프로그램으로  처리하고  물류의  조정이 단순화되어  물류  관리의  효율성이 극대화될  수  있으며,   기존의  시스템에  손쉽게  적용될  수  있고,  바코드와 같은  특별한  인식물없이 최초의  입력된  정보를  활용하여  필요한  경우  물류를  효율적으로  운반하도록  정보를  제공할  수  있는  효과가  있다.",G06Q,,,G06F
1.02001E+12,"본 발명은 차량 및 화물 컨테이너 등의 위치 파악 및 물류 이동 등을 담당할 수 있는 5.8GHZ대 단거리전용통신(DSRC)망을 이용한 차량 식별 장치(AVI) 및 화물 식별 장치(AEI)에 관한 것이다.즉, 본 발명은 화물이나 컨테이너의 이동시에 컨테이너 차량을 이용한 게이트 통과 시스템의 통관을 담당할 수 있는 통관시스템을 구성함에 있어서, 5.8GHZ대 능동형 단거리전용통신(DSRC)망을 이용하여 무선통신을 하는 방식으로 차량식별장치 및 화물식별장치와 무선송수신장치 사이에 게이트통관업무에 필요한 각종 정보를 양방향으로 송수신토록 하고, 컨테이너 차량이 게이트 통관 시에 컨테이너의 파손상태를 점검하기 위해 카메라로 컨테이너의 측면과 상면을 촬영하여 일정기간동안 주컴퓨터 혹은 보조컴퓨터에 저장토록 하며, 무선통신장치에 연결된 안테나의 방사특성을 조절하여 단일 안테나로 단일레인 혹은 다중레인으로 진입하는 컨테이너차량의 통관업무를 처리하여, 차량식별장치에 부착된 스크린을 통해 정차위치정보와 컨테이너 위치의 약도, 컨테이너번호, 차량도착시간, 컨테이너 내 화물상태 등 부가적인 정보 서비스를 제공할 수 있도록 한 것을 특징으로 하는 것으로서, 본 발명에 의하면 항만 물류 이동의 속도를 향상시킬 수 있으며 적은 인원으로 많은 화물을 이동시킬 수 있다.5.8GHZ대 능동형 단거리전용통신(DSRC)망을 이용한 게이트통관시스템, 무선통신장치, 게이트고정장치, 차량 식별 장치, 화물 식별 장치",G08G,,,G07C
1.02001E+12,"본 발명은 이동통신을 이용한 경량 택배시스템 및 방법에 관한 것으로, 이동통신망을 통해 전송되는 식별정보에 의해 지도데이터 상에 실시간으로 이동되는 객체 형태로 각 배송자 위치를 표시하는 GPS를 이용한 지리정보시스템(GIS)을 적용하고, 배송 물품과 최인접한 배송원을 선택하여 운송수단으로 오토바이를 이용해 물품을 배송토록 하되, 이를 기간 물류망과 연계하므로써 국지적이 아닌 전국적으로 보다 신속한 경량 택배를 할 수 있는 유용한 효과를 가진다. 택배, 이동통신, GPS, GIS",G01S,,,G07D
1.02001E+12,"본 발명은 물류 운반 장치에 관한 것으로, 상세하게는 물류 운반 장치의 구성 부분 중 본체의 위치를 검출하는 센서부(sensor part)의 검출 방식으로 레이저 (laser)를 이용한 검출 방식을 채택하여 접촉식 검출 방식에서 나타날 수 있는 기계적 마모, 슬립(slip), 백러쉬(back rush) 등의 오차 요인을 배제함으로써 그로 인한 오차 발생을 억제하고 더욱 정밀한 검출을 가능하게 하여 제어 성능을 향상시킬 수 있는 물류 운반 장치에 관한 것이다.물류 운반 장치, 센서, 레이저, 반사 수단, 위치 제어",G01S,,,G16H
1.02006E+12,"본 발명은 무선 통신 기능을 갖는 이동 단말기에서 물류 처리를 위한 최적의 이동 경로를 제공하고, 관리 센터와의 연동을 통해 실시간으로 물품의 배달 및 접수를 수행할 수 있는 무선 인식을 이용한 물류 처리용 이동 단말기 및 물류 처리 방법에 관한 것으로, RFID 리더기와, 결제 처리부와, 무선 통신 모듈을 구비하는 물류 처리용 이동 단말기에 있어서, 물류 처리를 위한 프로그램과, 배달 목록 정보와 접수 목록 정보 및 전자 지도를 저장하는 저장수단; 배달원과의 인터페이스를 제공하는 사용자 인터페이스수단; 상기 저장수단에 저장된 배달 목록 정보의 수취인 주소와 접수 목록 정보의 발송인 주소를 근거로 상기 전자 지도상에서의 최적의 이동 경로를 생성하는 경로 생성수단; 상기 무선 통신 모듈과 연동하여 관리 센터의 서버와 데이터 통신을 수행하는 통신 처리수단; 상기 RFID 리더기를 통해 입력된 RFID 정보에 대응되는 배달 목록 레코드를 상기 저장수단에 저장된 배달 목록 정보로부터 검색하여 표시하고, 배달 완료 시 상기 검색된 배달 목록 레코드의 상태를 배달 완료 상태로 표시하며, 배달 처리 결과를 상기 통신 처리수단을 통해 상기 관리 센터의 서버로 통보하는 배달 처리수단; 및 상기 사용자 인터페이스수단을 통해 입력된 발송인 정보에 대응되는 접수 목록 레코드를 상기 저장수단에 저장된 접수 목록 정보로부터 검색하여 표시하고, 접수 완료 시 상기 검색된 접수 목록 레코드의 상태를 접수 완료 상태로 표시하며, 접수 처리 결과를 상기 통신 처리수단을 통해 상기 관리 센터의 서버로 통보하는 접수 처리수단을 포함한다.무선, 인식, RFID, 배달, 물류, 택배, 접수 ",G16C,,,G05F
1.02004E+12,"                            본 발명은 물류 배송간의 환경의 이상변화 상황을 제공하기 위한 감지시스템에 관한 것으로, 특히 물류 이동간에 각종 환경요소를 감지하기 위한 센서로부터 정보를 받아 저장하거나 제어신호를 송출함으로써 소정의 환경을 유지시키고 또한 문제발생시의 원인을 객관적으로 판단할 수 있도록 한 감지시스템에 관한 것이다. 본 발명의 물류 환경 감지시스템은 개별 물류 포장단위에 동봉할 수 있으며 온도 습도 등 물류 저장 환경의 필수 요소는 물론이고 충격, 진동 등에 대한 감지수단과, 상기 감지수단으로부터 획득한 정보를 기록하는 저장수단, 소정의 설정값과 비교하여 이상징후를 판단하고 제어신호를 송출하는 제어수단, 제어수단으로부터 제공된 신호를 유선 또는 무선으로 구동부에 전달하는 통신수단을 포함한 출력수단 등으로 구성된다              물류, 환경 이력, 감지, 센서, 제어                     ",G01K,,,G01P
1.01999E+12,"본 발명은, 순차적으로 배치된 복수의 공정과, 상기 각 공정 간에 제품을 이송시키는 제품이송부를 갖는 물류이송장치와 이송방법에 관한 것으로서, 상기 각 공정 사이에 개재되어 제품이 대기하는 대기부와;  상기 대기부의 일측에 설치되어 상기 대기부에 위치한 제품을 공급받는 적어도 하나의 저장부와;  상기 각 공정과, 상기 대기부와, 상기 저장부에 제품이 존재하는지를 각각 감지하는 감지부와;  상기 감지부의 신호를 입력으로 하여 제품의 이송방향을 제어하는 제어부를 포함하며, 상기 제어부는, 상기 각 공정과 상기 대기부에 제품이 존재하고, 상기 저장부에 제품이 존재하지 않는 경우, 상기 대기부에 위치한 제품을 상기 저장부에 이송하는 것을 특징으로 한다.  이에 의하여, 공정 간에 이송되는 제품의 정체를 억제시켜 물류흐름을 원활하게 할 수 있다.",G06Q,,,G01D
1.01996E+12,"반도체 제조용 물류를 효율적으로 이송시켜 반도체 제조설비 및 이송장치의 가동율을 향상시키도록 된 반도체 제조용 물류 이송시스템에 관한 것이다. 본 발명은 공급포트 및 배출포트가 구비되어 물류를 공급포트에서 배출포트로 이송시키도록 된 이송라인과, 상기 공급포트에 물류를 로딩시키고 배출포트에 위치된 물류를 언로딩시키는 로봇으로 이루어진 반도체 제조용 물류 이송시스템에 있어서, 상기 이송라인의 공급포트 및 배출포트를 각각 복수로 구비하고, 로봇이 복수의 공급포트에 물류를 연속적으로 로딩시키고, 복수의 배출포트에 위치된 물류를 연속적으로 언로딩시키도록 된 것이다. 따라서, 물류의 로딩 및 언로딩이 효율적으로 이루어져 로봇의 대기시간이 단축되는 것이고, 이로써 생산설비의 가동율이 그 만큼 향상되는 효과가 있다.",G05B,,,G01F
1.01997E+12,"본 발명은 차량에 탑재된 단말기에 의해 물류정보가 기 구축된 무선 통신망을 통해 소정 시간 간격으로 자동 전송되면 다수의 단말기로부터 전송된 물류정보를 중앙센터에서 가공하도록 한 무선 통신망을 이용한 물류정보처리 시스템에 관한 것이다. 이를 위해, 본 발명은 차량에 탑재되어 차량의 현재위치와 운행속도 등의 물류정보를 기 구축된 무선 통신망을 통해 전송하거나 무선 통신망을 통해 수신되는 데이터를 운전자가  인지할 수 있도록 출력하는 물류정보처리 단말기(100)와, 지도에 관한 속성 정보를 컴퓨터를 이용하여 해석하는 지시 정보 시스템(200)과, 차량의 운행에 관련한 각종 정보를 저장하는 데이터 베이스(300)와, 지리 정보 시스템(200)에 의하여 해석된 속성정보나 각종 지시 사항을 무선 통신망을 통해 물류정보 처리 단말기(100)로 전송함과 동시에 다수의 물류정보처리 단말기(100)에 의하여 무선 통신망을 통해 전송된 물류정보를 통제하여 데이터 베이스(300)에 저장함과 아울러 전체적인 시스템의 운용을 제어하는 통제센터(400)로 구성된다.  ",G06Q,,,G06N
1.01995E+12,"개시된 물류관리시스템은 관리자가 적재되어 있는 물품의 재고상태를 용이하게 파악함과 동시에 입고 또는 출고되는 물품의 작업위치 및 상태를 작업자가 용이하게 알 수 있도록 하는 것에 관한 것이다.본 발명은 관리자가 현재 적재되어 있는 물품에 대해 입고 또는 출고를 하고자 하는 경우 먼저 현재 컴퓨터 시스템에 저장된 보관중인 물품에 대한 데이터가 디스플레이 되도록 한 후 그 중 입고 또는 출고에 대한 작업을 하고자 하는 보관 물품을 선택한 후 입고 또는 출고란에 그 수량을 입력하면, 컴퓨터 시스템은 이에 대한 데이터 및 제어신호를 메인 단말장치 및 서브 단말장치를 통해 작업라인으로 전송하게 되면 작업하고자 하는 격납 선반에 장착된 발광부 및 응답기의 발광소자가 점등되도록 하여 작업자에게 이를 알려줄 뿐만 아니라 응답기의 표시부에는 입고 또는 출고하고자 하는 물유의 총수량, 작업량 및 잔고량이 순차적으로 표시되도록 함으로써 작업자가 입고 또는 출고 작업을 손쉽게 할 수 있도록 하며 작업이 완료된 후 완료버튼이 눌려지면 컴퓨터 시스템에서는 완료된 상태의 보관 물품 수량을 잔고 수량으로 책정하여 저장되도록 한다. 따라서, 본 발명은 관리자가 쉽게 보관 물품의 재고 상태를 파악할 수 있으며 작업자 또한 손쉽게 입고 또는 출고 작업을 할 수 있다는 효과를 제공한다.  ",G06Q,,,G21C
1.01992E+12,"캔, 병, 나무통에 든 것등의 각종 상품을 취급하는 상품랙, 및 각 상품랙에 대응하는 상품 반출수단을 합리적으로 구성, 배치하여 높은 상품 수용 호율을 확보하면서, 각 상품랙으로부터의 불출 상품을 앞면 도어의 중단 위치에 설치한 상품 취출구에 반출하도록 한 자동판매기의 제공한다.기내 상부에 병치해서 배치한 캔상품용의 낙하 불출식 상품랙⑸고, 기내 하부의 좌우로 나누어서 배치한 병, 나무통 상품용의 컨베이어식 내지 슬랜트식 상품랙⑻과, 기내 상부의 낙하 불출식 상품랙과 앞면도어의 중단위치에 설치한 상품 취출구⑷와의 사이를 연결하여 상품랙에서 불출한 캔상품⑼을 상품 취출구로 전달하는 좌우 2조로 나눈 상품 반출슈터⑾,⑿와 기내 하부의 중앙부에서 설치하여 그 양측에 줄짓는 각 상품랙에서 불출한 병상품⑽등을 상품 취출구로 들어 올려 이송하는 엘리베이터식 상품 반송기구⒀를 구비하여 구성한다. ",G07F,,,G03G
1.01996E+12,"웨이퍼와  같은  이송물을  공정수행  전  또는  후에  원하는  장소로  자동반송시키도록  개선시킨  반도체  제조공장의  물류  시스템에  관한  것이다.본  발명은,  이송물을  공정설비가  배치된  제조라인의  특정  위치로  자동  반송시키는  반도체  제조공장의  물류  시스템에  있어서,  베이(Bay)를  주행하면서  상기  이송물을  반송하는  자동반송차량,  상기  이송물에  대한  생산정보  및  물류정보를  관리하고,  반송이  발생되면  반송을  위한  제어정보를  출력하는  제어수단  및  상기  제어정보를  판독하여  통신으로  반송을  위한  상기  자동반송차량의  이동  및  동작을  제어하는  자동반송차량  제어수단을  구비하여  이루어진다.따라서,  본  발명에  따른  물류  시스템에  의하면  반도체  공장  내부의  물류를  체계적이고  효과적으로  운용  및  관리할  수  있고,  수율이  상승되고,  제조단가가  절감되는  효과가  있다.",G05B,,,G03F
1.02006E+12,"수화물 및/또는 리셉터클을 적재하고 하역하는 작업을 정확하고 빠르게 진행할 수 있는 방식으로 출발지에서, 특히 체크-인 카운터 또는 적재지점에서 목적지로, 특히 여객선의 객실로 및/또는 그 역순으로, 수화물을 이송하는, 적어도 1개 수화물 및/또는 적어도 1개 리셉터클을 이송 처리하는 공정을 개선하기 위해서, 수화물(15, 16, 17)을 이송하는, 출발지(25)로부터 목적지(37)로의 운반로를 추적하기 위해 수화물(15, 16, 17)상에 그리고/또는 리셉터클(40)상에 적어도 1개 인식표(10)를 부착하는 것을 제안한 것이다.수화물, 리셉터클, 인식체, 스크린, 모니터, 컴퓨터, 이송 수단.",G16C,,,G01C
1.02006E+12," 적어도 하나의 도어(10)와 도어에 장착된 로킹 엘리먼트와 로킹 결합(17)하기 위하여 래치 로킹 엘리먼트가 배치된 적어도 하나의 도어 래치와 연결된 수송 컨테이너 보디, 수송 컨테이너내의 안전한 위치에 장착되고 적어도 하나의 도어의 로킹을 확인하기 위하여 로킹 엘리먼트상에 장착된 전자 씰의 상태에 관한 정보를 원격 모니터에 무선 전송하는 적어도 하나의 무선 통신기, 및 적어도 하나의 무선 통신기로부터 정보를 전송하기 위하여 수송 컨테이너의 외부에 있는 보호된 엔클로저내에 장착된 적어도 하나의 무선 안테나를 포함하는 원격 모니터가능한 수송 컨테이너. 스마트 컨테이너 모니터링 시스템, 로킹 엘리먼트, 도어 래치, 수송 컨테이너, 전자 씰",G08C,G07C,,G06T
